iter	Passed	Remaining
398	327264	492946
399	328009	492014
400	328705	491008
401	329540	490211
402	330449	489523
403	331228	488643
404	332764	488876
405	334041	488721
406	335475	488788
407	336156	487757
408	336941	486875
409	337753	486035
410	338444	485022
411	339194	484093
412	339949	483173
413	340683	482223
414	341353	481184
415	342040	480171
416	342759	479205
417	343450	478201
418	344125	477176
419	344911	476305
420	345745	475503
421	346772	474963
422	347966	474648
423	349573	474892
424	350260	473882
425	350877	472778
426	351594	471811
427	352404	470970
428	353314	470262
429	354035	469302
430	354790	468389
431	355541	467471
432	356240	466485
433	356856	465393
434	357622	464498
435	358342	463543
436	359097	462635
437	360040	461970
438	361639	462140
439	362969	461960
440	364069	461485
441	364830	460578
442	365505	459562
443	366396	458821
444	367100	457843
445	367799	456862
446	368394	455753
447	369120	454808
448	369831	453846
449	370501	452834
450	371253	451925
451	372166	451210
452	372946	450334
453	373623	449335
454	374684	448798
455	375848	448381
456	377168	448145
457	378593	448029
458	379314	447078
459	380081	446183
460	380877	445321
461	381807	444615
462	382548	443689
463	383083	442527
464	383789	441564
465	384579	440698
466	385428	439900
467	385943	438721
468	386634	437746
469	387395	436850
470	388139	435935
471	389365	435561
472	390747	435357
473	392193	435218
474	393013	434383
475	393864	433582
476	394736	432803
477	395574	431986
478	396265	431010
479	397045	430132
480	397719	429140
481	398259	428005
482	399085	427178
483	399909	426349
484	400563	425340
485	401377	424502
486	402155	423625
487	403009	422829
488	404282	422470
489	405543	422096
490	406949	421868
491	407721	420980
492	408547	420149
493	409346	419289
494	410138	418423
495	410799	417425
496	411469	416437
497	412305	415616
498	412948	414603
499	413736	413736
500	414507	412853
501	415192	411884
502	415768	410809
503	416506	409895
504	417521	409253
505	418874	408941
506	420549	408936
507	421447	408173
508	422198	407267
509	422947	406361
510	423631	405392
511	424403	404509
512	425168	403619
513	425846	402648
514	426560	401712
515	427371	400867
516	428140	399984
517	428950	399138
518	429796	398327
519	430555	397436
520	431606	396812
521	432852	396366
522	433926	395760
523	435434	395547
524	436143	394606
525	436805	393623
526	437442	392618
527	438093	391629
528	438836	390722
529	439477	389725
530	440088	388703
531	440843	387809
532	441615	386931
533	442237	385922
534	442880	384933
535	443688	384088
536	444612	383343
537	445384	382467
538	446513	381897
539	447596	381285
540	448964	380914
541	450245	380465
542	451029	379595
543	451849	378756
544	452639	377891
545	453439	377035
546	454017	375996
547	454834	375155
548	455747	374393
549	456364	373389
550	456924	372339
551	457791	371540
552	458606	370700
553	459326	369782
554	460200	368989
555	461095	368212
556	462408	367768
557	464003	367543
558	464803	366687
559	465517	365763
560	466055	364702
561	466839	363835
562	467659	362996
563	468418	362110
564	469210	361250
565	470018	360402
566	470755	359501
567	471497	358603
568	472176	357659
569	472968	356800
570	473683	355884
571	474782	355257
572	476208	354870
573	477755	354570
574	478897	353967
575	479689	353104
576	480421	352198
577	481279	351384
578	482073	350522
579	482846	349647
580	483610	348765
581	484287	347821
582	485035	346928
583	485766	346025
584	486580	345180
585	487188	344191
586	488027	343365
587	488810	342499
588	489997	341916
589	491104	341276
590	492541	340861
591	493399	340045
592	494137	339146
593	494748	338161
594	495448	337238
595	496110	336289
596	496791	335354
597	497571	334488
598	498271	333567
599	499192	332795
600	500082	332001
601	500991	331220
602	501742	330334
603	502537	329478
604	503600	328797
605	505000	328333
606	506586	327987
607	507609	327274
608	508320	326360
609	509195	325550
610	509861	324609
611	510584	323703
612	511313	322803
613	512112	321947
614	512840	321046
615	513615	320175
616	514442	319337
617	515169	318438
618	515992	317597
619	516805	316751
620	517594	315890
621	519005	315408
622	520725	315110
623	522030	314556
624	522810	313686
625	523542	312787
626	524472	312006
627	525087	311039
628	525802	310131
629	526426	309171
630	527043	308207
631	527729	307285
632	528485	306404
633	529302	305559
634	529896	304586
635	530467	303600
636	531232	302727
637	532205	301972
638	533420	301353
639	534312	300550
640	535771	300065
641	536495	299167
642	537170	298242
643	537986	297396
644	538735	296513
645	539570	295677
646	540371	294824
647	540951	293849
648	541693	292965
649	542530	292131
650	543387	291309
651	544209	290467
652	545050	289636
653	545812	288762
654	547259	288251
655	548701	287733
656	550205	287245
657	550956	286363
658	551606	285429
659	552242	284488
660	552881	283550
661	553699	282704
662	554538	281869
663	555272	280981
664	556047	280114
665	556850	279261
666	557610	278387
667	558373	277514
668	559112	276631
669	559892	275768
670	561043	275087
671	562128	274372
672	563404	273749
673	564555	273064
674	565350	272205
675	566244	271395
676	567015	270526
677	567720	269625
678	568296	268664
679	569071	267798
680	569891	266953
681	570644	266077
682	571511	265255
683	572287	264390
684	572789	263399
685	573712	262603
686	574627	261802
687	576014	261215
688	577007	260448
689	578681	259987
690	579573	259172
691	580261	258266
692	581027	257395
693	581716	256491
694	582449	255607
695	583146	254707
696	583869	253819
697	584635	252951
698	585391	252078
699	586064	251170
700	586729	250259
701	587502	249395
702	588357	248566
703	589340	247790
704	590686	247166
705	592251	246631
706	593435	245935
707	594220	245074
708	594978	244201
709	595702	243315
710	596341	242394
711	596973	241472
712	597714	240594
713	598445	239713
714	599185	238836
715	599918	237956
716	600770	237124
717	601552	236264
718	602318	235398
719	602989	234495
720	603989	233721
721	605387	233099
722	606583	232397
723	607804	231704
724	608642	230864
725	609396	229992
726	610182	229133
727	610841	228226
728	611717	227401
729	612606	226580
730	613421	225732
731	614134	224847
732	614941	223996
733	615743	223144
734	616498	222274
735	617274	221413
736	618695	220782
737	620365	220238
738	621575	219528
739	622468	218705
740	623206	217827
741	623990	216967
742	624798	216114
743	625368	215180
744	626117	214308
745	626764	213402
746	627445	212508
747	628117	211611
748	628889	210749
749	629578	209859
750	630289	208977
751	631078	208121
752	631819	207250
753	633225	206596
754	634692	205959
755	636228	205343
756	636973	204470
757	637554	203546
758	638412	202710
759	639280	201878
760	640169	201051
761	640743	200127
762	641480	199254
763	642235	198387
764	643068	197543
765	643949	196715
766	644873	195900
767	645726	195063
768	646576	194225
769	647595	193437
770	648881	192728
771	650345	192071
772	651195	191230
773	651969	190368
774	652753	189509
775	653499	188639
776	654257	187772
777	654904	186875
778	655658	186008
779	656493	185164
780	657295	184312
781	658065	183450
782	658937	182617
783	659685	181749
784	660442	180885
785	661676	180151
786	662943	179424
787	664475	178767
788	665192	177890
789	665996	177036
790	666734	176166
791	667393	175275
792	668096	174396
793	668896	173542
794	669717	172694
795	670495	171835
796	671345	170995
797	672118	170135
798	672998	169302
799	673756	168439
800	674493	167570
801	675754	166832
802	677091	166110
803	678724	165460
804	679610	164626
805	680482	163788
806	681235	162922
807	681925	162041
808	682541	161143
809	683216	160260
810	683952	159392
811	684766	158542
812	685602	157696
813	686225	156803
814	687007	155946
815	687751	155081
816	688533	154224
817	689248	153353
818	689559	152393
819	690857	151651
820	692421	150966
821	693672	150211
822	694528	149370
823	695331	148517
824	695963	147628
825	696813	146786
826	697634	145937
827	698416	145081
828	699312	144248
829	700172	143408
830	701001	142562
831	701686	141686
832	702419	140821
833	703356	139996
834	704670	139246
835	705908	138479
836	707233	137728
837	708070	136882
838	708816	136018
839	709592	135160
840	710227	134275
841	711174	133450
842	712108	132622
843	712983	131783
844	713726	130920
845	714470	130057
846	715222	129196
847	715914	128324
848	716576	127447
849	717351	126591
850	718458	125793
851	719778	125031
852	721380	124317
853	722313	123486
854	723046	122621
855	723854	121769
856	724485	120888
857	725203	120022
858	726100	119185
859	726912	118334
860	727608	117465
861	728528	116632
862	729359	115784
863	730145	114930
864	730910	114072
865	731678	113215
866	732957	112437
867	734047	111629
868	735633	110895
869	736504	110052
870	737210	109185
871	737886	108313
872	738813	107479
873	739492	106608
874	740272	105753
875	741220	104921
876	742123	104083
877	742813	103215
878	743532	102351
879	744414	101511
880	745188	100655
881	745881	99789
882	746992	98978
883	748435	98211
884	749815	97433
885	750913	96618
886	752054	95808
887	753450	95029
888	755128	94284
889	756368	93483
890	757599	92680
891	758973	91893
892	759735	91032
893	760538	90175
894	761848	89378
895	763049	88568
896	764557	87792
897	765226	86918
898	766024	86060
899	766648	85183
900	767533	84335
901	768338	83478
902	769117	82618
903	769646	81732
904	770462	80877
905	771218	80016
906	771867	79144
907	772569	78277
908	773391	77424
909	774202	76569
910	775261	75739
911	776396	74915
912	777872	74123
913	779187	73315
914	779898	72449
915	780760	71598
916	781281	70715
917	782045	69855
918	782685	68985
919	783428	68124
920	784174	67263
921	784773	66390
922	785388	65519
923	786194	64665
924	787025	63812
925	787749	62951
926	788611	62102
927	789966	61290
928	791379	60482
929	792654	59662
930	793655	58820
931	794312	57954
932	794844	57078
933	795492	56212
934	796357	55361
935	797122	54504
936	797985	53653
937	798769	52797
938	799409	51931
939	800165	51074
940	801015	50223
941	801851	49370
942	802733	48521
943	804050	47697
944	807399	46991
945	809114	46186
946	809967	45330
947	810844	44476
948	811614	43616
949	812291	42752
950	812936	41886
951	813706	41027
952	814460	40167
953	815154	39305
954	815974	38449
955	816645	37586
956	817243	36720
957	818085	35865
958	819415	35032
959	820756	34198
960	822106	33363
961	823580	32532
962	824453	31676
963	825173	30815
964	826089	29961
965	826802	29100
966	827627	28243
967	828440	27386
968	829366	26532
969	831258	25709
970	831988	24848
971	832832	23991
972	833709	23134
973	835002	22289
974	837258	21468
975	838530	20619
976	839415	19761
977	840615	18909
978	841712	18055
979	842529	17194
980	843179	16330
981	843906	15468
982	844767	14609
983	845531	13748
984	846361	12888
985	847163	12028
986	848565	11176
987	850006	10323
988	851531	9471
989	852462	8610
990	853323	7749
991	854224	6888
992	854998	6027
993	855830	5165
994	856450	4303
995	857254	3442
996	857821	2581
997	858624	1720
998	860006	860
999	861350	0
